target_separation_mm,target_left_x_mm,target_right_x_mm,target_z_mm,evaluation_z_mm,method,left_peak_x_mm,right_peak_x_mm,apparent_peak_separation_mm,left_peak_amplitude,right_peak_amplitude,valley_x_mm,valley_amplitude,valley_dip_relative_to_weaker_peak_db,peaks_localized_near_expected_targets,resolved_by_minus6db_dip,resolution_criterion_db
0.01,-0.005,0.005,20.0,20.1,DAS,-0.000390625,0.0,0.000390625,106741.25,106743.9375,-0.000390625,106741.25,0.0,False,False,-6.020599913279624
0.01,-0.005,0.005,20.0,20.1,Conventional NSI,-0.000390625,0.0,0.000390625,5001.794921875,5336.81982421875,-0.000390625,5001.794921875,0.0,False,False,-6.020599913279624
0.01,-0.005,0.005,20.0,20.1,Angular NSI,-0.000390625,0.0,0.000390625,5315.8994140625,5337.1767578125,-0.000390625,5315.8994140625,0.0,False,False,-6.020599913279624
0.02,-0.01,0.01,20.0,20.1,DAS,-0.000390625,0.0,0.000390625,106347.2578125,106349.9453125,-0.000390625,106347.2578125,0.0,False,False,-6.020599913279624
0.02,-0.01,0.01,20.0,20.1,Conventional NSI,-0.000390625,0.0,0.000390625,4984.1220703125,5317.1220703125,-0.000390625,4984.1220703125,0.0,False,False,-6.020599913279624
0.02,-0.01,0.01,20.0,20.1,Angular NSI,-0.000390625,0.0,0.000390625,5296.453125,5317.4638671875,-0.000390625,5296.453125,0.0,False,False,-6.020599913279624
0.04,-0.02,0.02,20.0,20.1,DAS,-0.000390625,0.0,0.000390625,104780.671875,104783.2890625,-0.000390625,104780.671875,0.0,False,False,-6.020599913279624
0.04,-0.02,0.02,20.0,20.1,Conventional NSI,-0.000390625,0.0,0.000390625,4913.9091796875,5238.7998046875,-0.000390625,4913.9091796875,0.0,False,False,-6.020599913279624
0.04,-0.02,0.02,20.0,20.1,Angular NSI,-0.000390625,0.0,0.000390625,5219.12353515625,5239.12841796875,-0.000390625,5219.12353515625,0.0,False,False,-6.020599913279624
0.06,-0.03,0.03,20.0,20.1,DAS,-0.000390625,0.0,0.000390625,102048.6796875,102051.1796875,-0.000390625,102048.6796875,0.0,False,False,-6.020599913279624
0.06,-0.03,0.03,20.0,20.1,Conventional NSI,-0.000390625,0.0,0.000390625,4791.0380859375,5102.2001953125,-0.000390625,4791.0380859375,0.0,False,False,-6.020599913279624
0.06,-0.03,0.03,20.0,20.1,Angular NSI,-0.000390625,0.0,0.000390625,5084.13134765625,5102.5390625,-0.000390625,5084.13134765625,0.0,False,False,-6.020599913279624
