method,grid_spacing_x_mm,evaluation_z_mm,peak_x_mm,peak_amplitude,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,lateral_minus6_left_crossing_mm,lateral_minus6_right_crossing_mm,lateral_samples_per_fwhm,lateral_fwhm_sampling_ok,subsampling_stride
DAS,0.006250000000000003,20.1,0.0,53437.7265625,0.2258427931502884,0.28208218368474597,0.5242934266893933,-0.11292148855465373,0.11292130459563468,36.13484690404613,True,16
Conventional NSI,0.006250000000000003,20.1,0.0,2671.6875,0.010431081741763435,0.018505925477213466,0.056619235112108396,-0.005215530927981275,0.005215550813782161,1.6689730786821488,False,16
Angular NSI,0.006250000000000003,20.1,0.0,2671.86767578125,0.11609792308005601,0.175947403140044,0.2894205594367041,-0.05804899400109602,0.058048929078959983,18.575667692808953,True,16
DAS,0.003124999999999981,20.1,0.0,53437.7265625,0.2258411322521447,0.28201285984530855,0.5243380721029852,-0.11292065683782236,0.11292047541432235,72.26916232068675,True,8
Conventional NSI,0.003124999999999981,20.1,0.0,2671.6875,0.009481597092933957,0.01728951806043788,0.056004623285302785,-0.004740786032497033,0.004740811060436924,3.0341110697388847,False,8
Angular NSI,0.003124999999999981,20.1,0.0,2671.86767578125,0.11600868837688144,0.17593250923224757,0.28937293206989856,-0.05800439220355928,0.05800429617332217,37.122780280602285,True,8
DAS,0.0015624999999999905,20.1,0.0,53437.7265625,0.22584084281068806,0.2820084315247462,0.524352922367606,-0.11292051280948368,0.1129203300012044,144.53813939884122,True,4
Conventional NSI,0.0015624999999999905,20.1,0.0,2671.6875,0.009026469941951297,0.0170487241199173,0.05599056806749554,-0.004513226309837142,0.004513243632114156,5.776940762848865,False,4
Angular NSI,0.0015624999999999905,20.1,0.0,2671.86767578125,0.11601185426225866,0.17590961081947445,0.289375095166545,-0.05800597231524894,0.05800588194700971,74.24758672784598,True,4
DAS,0.0007812500000000088,20.1,0.0,53437.7265625,0.2258381921398443,0.28200583576369187,0.5243546329634838,-0.11291919006112748,0.11291900207871683,289.07288593899744,True,2
Conventional NSI,0.0007812500000000088,20.1,0.0,2671.6875,0.008994882070050737,0.016961661204753384,0.05598369949346213,-0.0044974307864042214,0.004497451283646517,11.513449049664814,True,2
Angular NSI,0.0007812500000000088,20.1,0.0,2671.86767578125,0.11601274514319801,0.17590715338158266,0.28936867774466846,-0.05800642653844276,0.05800631860475524,148.49631378329178,True,2
DAS,0.0003906250000000112,20.1,0.0,53437.7265625,0.22583658854166666,0.2820067646397883,0.524363234636083,-0.11291839096018978,0.1129181975814769,578.14166666665,True,1
Conventional NSI,0.0003906250000000112,20.1,0.0,2671.6875,0.008979010537406261,0.016954069683122353,0.05597991338112306,-0.0044894986998736805,0.0044895118375325805,22.98626697575937,True,1
Angular NSI,0.0003906250000000112,20.1,0.0,2671.86767578125,0.1160004067314412,0.17589602380129385,0.28935721910295015,-0.05800025976008509,0.0580001469713561,296.96104123248097,True,1
