method,coarser_spacing_mm,finer_spacing_mm,coarser_lateral_fwhm_mm,finer_lateral_fwhm_mm,lateral_fwhm_relative_change_percent,finer_samples_per_fwhm,comparison_within_tolerance
DAS,0.006250000000000003,0.003124999999999981,0.2258427931502884,0.2258411322521447,0.0007354276553388814,72.26916232068675,True
Conventional NSI,0.006250000000000003,0.003124999999999981,0.010431081741763435,0.009481597092933957,10.013973801281537,3.0341110697388847,False
Angular NSI,0.006250000000000003,0.003124999999999981,0.11609792308005601,0.11600868837688144,0.0769207069083204,37.122780280602285,True
DAS,0.003124999999999981,0.0015624999999999905,0.2258411322521447,0.22584084281068806,0.00012816169698689112,144.53813939884122,True
Conventional NSI,0.003124999999999981,0.0015624999999999905,0.009481597092933957,0.009026469941951297,5.042138886071258,5.776940762848865,False
Angular NSI,0.003124999999999981,0.0015624999999999905,0.11600868837688144,0.11601185426225866,0.002728932657225306,74.24758672784598,True
DAS,0.0015624999999999905,0.0007812500000000088,0.22584084281068806,0.2258381921398443,0.0011737035346621098,289.07288593899744,True
Conventional NSI,0.0015624999999999905,0.0007812500000000088,0.009026469941951297,0.008994882070050737,0.35117605383326433,11.513449049664814,True
Angular NSI,0.0015624999999999905,0.0007812500000000088,0.11601185426225866,0.11601274514319801,0.00076791643733022,148.49631378329178,True
DAS,0.0007812500000000088,0.0003906250000000112,0.2258381921398443,0.22583658854166666,0.0007100701387629052,578.14166666665,True
Conventional NSI,0.0007812500000000088,0.0003906250000000112,0.008994882070050737,0.008979010537406261,0.17676260182963097,22.98626697575937,True
Angular NSI,0.0007812500000000088,0.0003906250000000112,0.11601274514319801,0.1160004067314412,0.010636524564413946,296.96104123248097,True
