scenario_type,scenario_label,angular_weight_strategy,angular_weight_sum,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error,removed_angle_deg,angular_weight_l1_norm
angle_count,5 angles,sign(angle),0.0,5,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,6267.4580078125,892.1357468456746,16.933209829142093,0.20591363815708918,0.2600223239633856,0.5404023585724181,527.1389136821689,0.00039062499999998473,,,
angle_count,5 angles,sign(angle),0.0,5,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,313.341552734375,1.0426198436952487,49.55784009614372,0.007920146626969143,0.01487909951681196,0.04917862753002669,20.2755753650418,0.00039062499999998473,,,
angle_count,5 angles,sign(angle),0.0,5,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,313.3702087402344,4.586091444944224,36.692299934831816,0.08905912288215423,0.13473998913342078,0.23355497951572346,227.99135457832372,0.00039062499999998473,,,
angle_count,9 angles,sign(angle),0.0,9,-4.0,4.0,8.0,20.1,DAS,True,0.000390625,0.000390625,30623.087890625,,,0.28361516525842545,0.3852060132161973,0.852898366909203,726.0548230615975,0.00039062499999998473,,,
angle_count,9 angles,sign(angle),0.0,9,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,1531.0047607421875,2.880261219401424,54.510893283343975,0.009588929517854462,0.017785065307639902,0.058076446801709175,24.547659565708383,0.00039062499999998473,,,
angle_count,9 angles,sign(angle),0.0,9,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,1531.139404296875,17.45610481609924,38.86134784656638,0.09210847376308662,0.1513698346625735,0.32823462908885603,235.79769283351095,0.00039062499999998473,,,
angle_count,13 angles,sign(angle),0.0,13,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,71224.578125,886.0238737783939,38.103689229548266,0.2425015984245386,0.3046551373281937,0.5980078059364065,620.8040919668431,0.00039062499999998473,,,
angle_count,13 angles,sign(angle),0.0,13,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,3560.9248046875,0.7471197184497358,73.5634520826604,0.009375180897687858,0.01764079131287478,0.05816115251190114,24.000463098081855,0.00039062499999998473,,,
angle_count,13 angles,sign(angle),0.0,13,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,3561.217041015625,5.266798199641609,56.60103528886721,0.14903291297638532,0.21380381488099162,0.32652203835018184,381.5242572195613,0.00039062499999998473,,,
angle_count,17 angles,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,,,
