perturbation_type,noise_snr_db,phase_jitter_sd_deg,realization,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error
noise,infinity,0.0,1,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,1,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,1,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,2,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,2,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,2,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,3,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,3,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,3,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,4,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,4,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,4,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,5,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,5,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,5,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,6,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,6,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,6,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,7,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,7,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
