scenario_type,target_x_mm,target_z_mm,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error
spatial_psf,-4.0,15.0,17,-4.0,4.0,8.0,15.25,DAS,True,-4.002734375,-0.0027343750000001776,46704.953125,888.3826532035046,34.41525741461472,0.19757694342180976,0.3047731950470052,0.7450488300499334,505.796975159718,0.0003906250000000888,
spatial_psf,-4.0,15.0,17,-4.0,4.0,8.0,15.325,Conventional NSI,True,-4.0828125,-0.08281250000000018,35.46875,3.8682866712724446,19.246544637566203,0.07338734192607,0.10098742075317091,0.3019531250000007,187.87159533069646,0.0003906250000000888,
spatial_psf,-4.0,15.0,17,-4.0,4.0,8.0,15.25,Angular NSI,True,-4.0,0.0,2309.451416015625,8.757139830156847,48.42293092058039,0.06464226613603197,0.10638746211476713,0.20883487996771022,165.4842013082042,0.0003906250000000888,
spatial_psf,0.0,15.0,17,-4.0,4.0,8.0,15.2625,DAS,True,0.0,0.0,52520.09375,892.2008948656191,35.3972567629977,0.1963031698929128,0.2820393548494551,0.7377016769517651,502.5361149258764,0.00039062499999998473,
spatial_psf,0.0,15.0,17,-4.0,4.0,8.0,15.2625,Conventional NSI,True,0.0,0.0,2625.726806640625,2.1678718938642114,61.664318463082886,0.0075025783339302335,0.014083885379185175,0.04634556578025904,19.206600534862147,0.00039062499999998473,
spatial_psf,0.0,15.0,17,-4.0,4.0,8.0,15.2625,Angular NSI,True,0.0,0.0,2625.966064453125,9.729714088427762,48.62378061667548,0.0616643392998139,0.1019313677576543,0.20151580780601008,157.86070860752974,0.00039062499999998473,
spatial_psf,4.0,15.0,17,-4.0,4.0,8.0,15.25,DAS,True,4.002734375,0.0027343750000001776,46704.81640625,888.3659420747805,34.41539537798133,0.19757812468081948,0.3047746136771252,0.7450459793360706,505.79999918278287,0.0003906250000000888,
spatial_psf,4.0,15.0,17,-4.0,4.0,8.0,15.325,Conventional NSI,True,4.0828125,0.08281250000000018,35.466796875,3.868750827389306,19.24502416823827,0.0733896506584859,0.10099202845815736,0.3019565217391307,187.8775056856812,0.0003906250000000888,
spatial_psf,4.0,15.0,17,-4.0,4.0,8.0,15.25,Angular NSI,True,4.0,0.0,2309.49072265625,8.757004597968933,48.42321288526931,0.06464053789989288,0.10638562633706128,0.20883368249217682,165.47977702368814,0.0003906250000000888,
spatial_psf,-4.0,20.0,17,-4.0,4.0,8.0,20.1,DAS,True,-3.993359375,0.006640625000000178,48500.7578125,565.3266102822924,38.66898191884831,0.22836619810529113,0.285456160830309,0.5415087194131147,584.6174671494124,0.0003906250000000888,
spatial_psf,-4.0,20.0,17,-4.0,4.0,8.0,20.4375,Conventional NSI,True,-4.09375,-0.09375,72.5048828125,7.446180080020662,19.768674397289992,0.080313704657482,0.11476956924541337,0.19798759766287333,205.60308392310716,0.0003906250000000888,
spatial_psf,-4.0,20.0,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-3.998828125,0.0011718749999998224,2403.88037109375,5.718046041254705,52.473304065977814,0.11851033945512457,0.17767887142186112,0.29098049830556283,303.3864690050499,0.0003906250000000888,
spatial_psf,0.0,20.0,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
spatial_psf,0.0,20.0,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
spatial_psf,0.0,20.0,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
spatial_psf,4.0,20.0,17,-4.0,4.0,8.0,20.1,DAS,True,3.993359375,-0.006640625000000178,48500.76953125,565.3179947111371,38.66911639140083,0.22836611385270977,0.2854560398261685,0.5415080257264986,584.6172514628041,0.0003906250000000888,
spatial_psf,4.0,20.0,17,-4.0,4.0,8.0,20.4375,Conventional NSI,True,4.09375,0.09375,72.50390625,7.447322192471751,19.76722524711593,0.08031440143845181,0.11477015073910213,0.19797945343186996,205.60486768238988,0.0003906250000000888,
spatial_psf,4.0,20.0,17,-4.0,4.0,8.0,20.1,Angular NSI,True,3.998828125,-0.0011718749999998224,2403.8671875,5.717984155195079,52.47335043720581,0.11851106890382468,0.17767965291636267,0.2909806906520185,303.38833639372217,0.0003906250000000888,
spatial_psf,-4.0,25.0,17,-4.0,4.0,8.0,25.1,DAS,True,-4.0,0.0,48146.875,547.4400415856372,38.88463088537549,0.23344508332589387,0.29121567671043813,0.4592036779565505,597.6194133141524,0.0003906250000000888,
spatial_psf,-4.0,25.0,17,-4.0,4.0,8.0,25.4875,Conventional NSI,True,-4.089453125,-0.08945312500000036,89.9208984375,2.0171625144166296,32.98239497076282,0.07501300470763805,0.10872136948388089,0.19480686296518002,192.03329205150976,0.0003906250000000888,
spatial_psf,-4.0,25.0,17,-4.0,4.0,8.0,25.1,Angular NSI,True,-4.00078125,-0.0007812500000001776,2400.628173828125,4.64921920972021,54.25889750244451,0.11890095083770014,0.1773978334406796,0.2893355083233904,304.3864341444431,0.0003906250000000888,
spatial_psf,0.0,25.0,17,-4.0,4.0,8.0,25.1,DAS,True,0.0,0.0,52795.91015625,449.5706482991989,41.39604664007329,0.22766096154599644,0.2846417955113042,0.3820613071309872,582.8120615577736,0.00039062499999998473,
spatial_psf,0.0,25.0,17,-4.0,4.0,8.0,25.1,Conventional NSI,True,0.0,0.0,2639.650390625,0.1620588372020999,84.2374738390197,0.008996363454921103,0.01698520051846311,0.056062824166672486,23.030690444598925,0.00039062499999998473,
spatial_psf,0.0,25.0,17,-4.0,4.0,8.0,25.1,Angular NSI,True,0.0,0.0,2639.78466796875,4.666619538744537,55.05132214117988,0.11653256340233392,0.17453580926597415,0.2833729787015483,298.3233623099865,0.00039062499999998473,
spatial_psf,4.0,25.0,17,-4.0,4.0,8.0,25.1,DAS,True,4.0,0.0,48146.84375,547.4377602613796,38.88466144417244,0.23344515972710278,0.2912157749591082,0.4592037582296964,597.6196089012473,0.0003906250000000888,
spatial_psf,4.0,25.0,17,-4.0,4.0,8.0,25.4875,Conventional NSI,True,4.089453125,0.08945312500000036,89.919921875,2.0172449478546786,32.98194568877309,0.07501323190913034,0.10872206960109221,0.19480790560233174,192.03387368733001,0.0003906250000000888,
spatial_psf,4.0,25.0,17,-4.0,4.0,8.0,25.1,Angular NSI,True,4.00078125,0.0007812500000001776,2400.638916015625,4.649226044248543,54.258923600880095,0.11890029130154822,0.1773973232972672,0.2893349425201488,304.3847457318942,0.0003906250000000888,
spatial_psf,-4.0,30.0,17,-4.0,4.0,8.0,30.1125,DAS,True,-4.00390625,-0.00390625,46191.0859375,584.1489995412597,37.96069070531214,0.24258226844905728,0.3025875973338379,0.48941115976638505,621.0106072294454,0.0003906250000000888,
spatial_psf,-4.0,30.0,17,-4.0,4.0,8.0,30.4625,Conventional NSI,True,-4.07890625,-0.07890625000000018,100.29296875,1.5660585443652562,36.12924987181776,0.06701018221968447,0.09328854280783272,0.15926129046572424,171.54606648235324,0.0003906250000000888,
spatial_psf,-4.0,30.0,17,-4.0,4.0,8.0,30.1125,Angular NSI,True,-3.999609375,0.0003906250000000888,2301.36767578125,5.52931952913823,52.38628642223601,0.1152319395579271,0.17395199512333503,0.28726360669475604,294.9937652682263,0.0003906250000000888,
spatial_psf,0.0,30.0,17,-4.0,4.0,8.0,30.1125,DAS,True,0.0,0.0,50149.17578125,457.4778975450336,40.7978736621293,0.23642063688638415,0.2948018685649413,0.39113657865035334,605.2368304291671,0.00039062499999998473,
spatial_psf,0.0,30.0,17,-4.0,4.0,8.0,30.1125,Conventional NSI,True,0.0,0.0,2507.3544921875,0.37751608793327823,76.44560550706697,0.009334741605088438,0.017629311589403833,0.05816618201535147,23.896938509027336,0.00039062499999998473,
spatial_psf,0.0,30.0,17,-4.0,4.0,8.0,30.1125,Angular NSI,True,0.0,0.0,2507.446533203125,4.00900907645771,55.92389283479757,0.11265233702094948,0.17052379874849827,0.28062296733426567,288.389982773642,0.00039062499999998473,
spatial_psf,4.0,30.0,17,-4.0,4.0,8.0,30.1125,DAS,True,4.00390625,0.00390625,46191.078125,584.1534103924856,37.96062365018503,0.24258235892678703,0.30258777177511087,0.48941128877800466,621.0108388524336,0.0003906250000000888,
spatial_psf,4.0,30.0,17,-4.0,4.0,8.0,30.4625,Conventional NSI,True,4.07890625,0.07890625000000018,100.29296875,1.5660904013556305,36.12907318398625,0.0670091207613801,0.09328609197680215,0.15926867403429856,171.54334914909407,0.0003906250000000888,
spatial_psf,4.0,30.0,17,-4.0,4.0,8.0,30.1125,Angular NSI,True,3.999609375,-0.0003906250000000888,2301.361083984375,5.529384571262624,52.386159370567135,0.1152325151953737,0.17395243204029587,0.2872643224755893,294.9952389000896,0.0003906250000000888,
