repetition,order_within_repetition,method,elapsed_seconds,elapsed_milliseconds
1,1,Conventional NSI (two fields),0.04541780101135373,45.41780101135373
1,2,DAS / coherent compounding,0.03165445401100442,31.654454011004418
1,3,Angular NSI (stored angle stack),0.03338842200173531,33.38842200173531
1,4,Angular NSI (streaming),0.02510718700068537,25.10718700068537
2,1,Conventional NSI (two fields),0.03466766999918036,34.66766999918036
2,2,DAS / coherent compounding,0.024838804005412385,24.838804005412385
2,3,Angular NSI (stored angle stack),0.02430531800200697,24.30531800200697
2,4,Angular NSI (streaming),0.02459776500472799,24.59776500472799
3,1,Conventional NSI (two fields),0.032204922012169845,32.204922012169845
3,2,DAS / coherent compounding,0.023821488008252345,23.821488008252345
3,3,Angular NSI (streaming),0.02474360799533315,24.74360799533315
3,4,Angular NSI (stored angle stack),0.024589267995906994,24.589267995906994
4,1,Angular NSI (streaming),0.02504708200285677,25.04708200285677
4,2,Conventional NSI (two fields),0.031846626006881706,31.846626006881706
4,3,Angular NSI (stored angle stack),0.02627069500158541,26.27069500158541
4,4,DAS / coherent compounding,0.025915533988154493,25.915533988154493
5,1,Conventional NSI (two fields),0.03192722800304182,31.92722800304182
5,2,Angular NSI (streaming),0.024577803997090086,24.577803997090086
5,3,Angular NSI (stored angle stack),0.02404825799749233,24.04825799749233
5,4,DAS / coherent compounding,0.02366077199985739,23.66077199985739
6,1,Conventional NSI (two fields),0.03245363000314683,32.45363000314683
6,2,Angular NSI (streaming),0.026499283994780853,26.499283994780853
6,3,Angular NSI (stored angle stack),0.02438379600062035,24.38379600062035
6,4,DAS / coherent compounding,0.022457591010606848,22.457591010606848
7,1,DAS / coherent compounding,0.03881866700248793,38.81866700248793
7,2,Angular NSI (streaming),0.02526318399759475,25.26318399759475
7,3,Angular NSI (stored angle stack),0.02429253500304185,24.29253500304185
7,4,Conventional NSI (two fields),0.030099214010988362,30.099214010988362
8,1,Angular NSI (stored angle stack),0.02360481899813749,23.60481899813749
